school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,subject,avg_prev_grades,absence_rate,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other
1,0,15,1,0,1,1,1,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,6,11,12,0,11.5,0.08,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,0,16,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,1,13.5,0.08,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
0,0,15,0,1,1,2,2,1,3,0,1,1,0,0,1,1,0,0,4,4,3,2,2,5,2,14,11,0,12.5,0.02666666666666667,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
1,1,19,0,0,1,3,3,1,2,0,0,0,0,1,1,1,0,1,4,5,3,1,2,5,0,10,10,0,10.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
1,1,16,1,1,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,1,12.0,0.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,15,1,0,1,2,3,1,3,0,1,0,0,0,0,1,1,0,5,3,2,1,2,5,2,10,9,0,9.5,0.02666666666666667,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,0,16,0,1,1,2,1,1,1,0,0,1,0,0,1,1,1,1,5,4,3,1,1,5,2,10,8,0,9.0,0.02666666666666667,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,0,16,0,0,1,3,3,1,3,0,1,1,0,1,1,1,1,0,4,1,2,1,1,2,4,11,11,0,11.0,0.05333333333333334,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
1,0,16,1,0,1,4,4,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,4,12,13,0,12.5,0.05333333333333334,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
1,1,17,1,1,1,4,4,1,2,0,0,1,0,0,1,1,1,1,5,3,5,4,5,3,15,13,12,0,12.5,0.2,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,16,0,0,1,2,1,2,1,0,0,0,0,1,0,1,0,0,3,3,2,1,3,3,2,14,13,0,13.5,0.02666666666666667,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,0,18,1,1,0,2,1,1,2,0,0,1,0,0,0,1,1,1,4,3,4,1,3,5,2,12,12,0,12.0,0.02666666666666667,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,0,16,1,1,1,2,2,2,2,0,0,1,0,1,0,1,1,1,3,3,3,1,2,3,16,11,11,0,11.0,0.21333333333333335,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,17,1,0,1,3,4,1,2,1,0,1,0,1,0,1,1,1,5,4,4,3,4,5,8,8,9,0,8.5,0.10666666666666667,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
0,0,18,1,0,1,1,2,1,2,1,0,1,0,1,1,1,1,1,3,4,4,2,3,5,9,9,8,0,8.5,0.12,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,1,17,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,4,2,3,3,4,4,4,12,13,0,12.5,0.05333333333333334,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False
1,0,15,1,0,1,1,2,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,10,11,1,10.5,0.02666666666666667,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,0,18,1,1,1,2,2,1,2,0,0,0,0,1,0,1,1,1,4,3,3,1,1,2,0,8,8,1,8.0,0.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,17,1,0,1,2,2,3,3,0,0,1,0,0,1,1,1,1,4,2,3,1,1,1,8,13,15,0,14.0,0.10666666666666667,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
1,1,16,1,0,1,3,3,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18,1,17.0,0.02666666666666667,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
1,0,17,1,1,0,4,2,1,2,0,0,1,0,1,1,1,0,0,4,3,2,1,1,4,4,15,14,0,14.5,0.05333333333333334,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
1,1,17,1,0,1,2,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,0,9,9,0,9.0,0.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,17,1,0,1,2,1,1,1,0,0,1,0,0,1,1,1,0,5,4,5,1,2,5,22,9,7,0,8.0,0.29333333333333333,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,16,1,1,1,1,1,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,14,12,1,13.0,0.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
1,1,15,1,0,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,1,18.5,0.02666666666666667,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False
1,0,18,1,1,1,4,3,2,2,0,0,1,0,0,1,1,1,1,4,4,5,1,2,2,0,13,14,0,13.5,0.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,1,15,1,0,1,4,4,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,8,15,15,0,15.0,0.10666666666666667,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
1,1,15,1,0,1,4,4,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,1,10.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,0,18,0,1,0,1,4,3,2,0,0,0,0,0,1,1,0,1,4,3,4,1,4,5,0,13,13,1,13.0,0.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,0,17,0,0,1,3,4,1,3,0,0,1,1,1,0,1,1,0,4,3,4,2,5,5,0,11,11,1,11.0,0.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
0,0,16,1,0,1,1,2,1,3,1,0,1,0,0,1,1,0,0,1,3,2,1,2,4,3,9,8,0,8.5,0.04,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
1,0,18,0,0,0,3,2,2,2,0,0,0,0,0,0,0,1,1,4,1,1,1,1,5,15,12,9,0,10.5,0.2,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,0,16,1,0,1,4,4,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,11,14,1,12.5,0.08,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
1,0,16,1,0,1,4,3,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,1,9.5,0.02666666666666667,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
0,1,17,0,1,1,1,2,1,1,0,0,1,0,1,1,1,1,0,5,5,5,5,5,3,4,10,11,0,10.5,0.05333333333333334,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
1,1,17,0,0,1,1,2,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,6,9,9,0,9.0,0.08,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,17,1,0,1,4,4,1,2,0,1,1,0,1,1,1,1,1,4,5,5,1,3,2,0,13,13,0,13.0,0.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
1,1,18,1,0,1,4,4,2,1,0,0,0,0,1,1,1,1,0,3,2,4,1,4,3,6,11,12,0,11.5,0.08,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
0,0,17,0,0,1,3,1,2,2,3,0,1,0,1,0,1,1,1,5,4,4,1,1,5,2,7,9,0,8.0,0.02666666666666667,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
0,1,17,1,0,1,3,2,2,2,0,0,1,1,0,1,1,1,0,4,1,2,2,2,1,0,13,14,0,13.5,0.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
1,1,22,1,0,1,3,1,1,1,3,0,0,0,0,0,0,1,1,5,4,5,5,5,1,16,6,8,1,7.0,0.21333333333333335,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
0,0,16,0,0,1,1,1,2,2,3,1,1,0,0,1,1,0,0,3,4,3,1,1,1,0,7,7,0,7.0,0.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,1,15,0,1,1,4,1,1,2,0,0,1,0,1,1,1,1,0,5,3,4,1,2,2,7,7,9,0,8.0,0.09333333333333334,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
0,0,19,0,0,1,1,1,2,2,1,0,1,0,0,1,1,1,1,4,3,3,1,1,3,4,7,8,0,7.5,0.05333333333333334,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,1,16,0,0,0,4,4,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,4,13,13,0,13.0,0.05333333333333334,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
1,1,17,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,0,9,10,0,9.5,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,1,18,1,0,1,1,2,2,1,0,0,0,0,0,0,0,1,0,3,4,4,2,4,4,10,10,10,0,10.0,0.13333333333333333,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,1,17,1,0,1,1,2,2,2,0,0,0,0,1,0,1,1,0,4,4,4,4,5,5,16,10,11,0,10.5,0.21333333333333335,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
1,0,19,1,1,1,3,2,2,2,1,0,1,1,0,0,1,1,1,4,2,2,1,2,1,22,13,10,1,11.5,0.29333333333333333,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
1,0,16,1,0,1,2,3,1,2,0,1,1,0,1,1,1,0,0,4,4,3,1,3,4,4,11,12,0,11.5,0.05333333333333334,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
1,0,15,1,0,1,1,2,1,2,0,0,0,0,0,0,1,0,1,2,3,4,2,4,1,6,11,11,0,11.0,0.08,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1,0,16,1,0,1,3,3,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7,7,1,7.0,0.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,0,15,1,0,1,2,2,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7,8,1,7.5,0.10666666666666667,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,0,17,1,1,1,2,1,1,2,0,0,0,0,1,1,1,1,0,4,2,3,2,2,2,2,11,12,0,11.5,0.02666666666666667,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
1,0,17,0,0,1,4,4,2,3,0,0,1,0,1,1,1,1,0,5,3,4,1,1,5,0,7,7,0,7.0,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
1,0,17,1,0,1,3,4,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,16,16,15,1,15.5,0.21333333333333335,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
1,1,16,1,0,1,4,3,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,9,8,1,8.5,0.13333333333333333,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,0,18,1,0,1,2,1,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,2,1,2,12,12,0,12.0,0.02666666666666667,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
0,1,18,1,0,1,3,3,1,2,2,0,1,0,1,1,0,1,0,4,4,5,1,3,3,9,4,8,0,6.0,0.12,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1,0,19,1,0,1,0,1,1,2,2,0,1,0,0,0,0,0,0,3,4,2,1,1,5,0,9,10,0,9.5,0.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
0,1,17,1,0,1,3,3,1,1,0,0,1,0,1,1,1,1,0,4,1,4,5,5,3,8,7,10,0,8.5,0.10666666666666667,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
1,0,17,1,0,1,3,4,1,3,1,0,1,1,0,1,1,1,1,4,4,3,3,4,5,14,8,9,0,8.5,0.18666666666666668,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,1,17,0,0,1,1,1,2,3,0,0,0,0,0,0,1,1,1,4,3,3,1,1,1,2,13,14,0,13.5,0.02666666666666667,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,1,16,1,0,0,1,2,1,3,0,1,0,0,0,1,1,1,0,4,4,3,1,1,5,0,10,11,0,10.5,0.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
1,1,18,1,1,1,4,4,1,1,0,0,1,1,0,1,1,1,1,1,4,2,2,2,1,5,16,15,1,15.5,0.06666666666666667,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
1,1,16,1,0,1,1,0,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,13,15,1,14.0,0.02666666666666667,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
1,1,17,0,0,1,1,3,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,14,12,11,0,11.5,0.18666666666666668,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1,0,17,1,0,1,1,1,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,6,13,12,1,12.5,0.08,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
1,1,18,1,0,1,4,3,1,3,0,0,1,1,0,1,1,1,1,5,4,5,2,3,5,0,10,10,1,10.0,0.0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
1,0,17,0,1,1,2,2,1,3,0,0,1,0,1,1,1,1,0,3,3,2,2,2,3,0,11,11,0,11.0,0.0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
1,1,19,1,0,1,2,1,1,1,0,0,0,0,0,1,1,1,0,5,3,4,1,4,4,10,7,11,0,9.0,0.13333333333333333,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
1,0,17,0,0,1,4,3,2,3,0,0,1,1,1,1,1,1,1,4,4,2,1,1,4,6,7,7,1,7.0,0.08,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
1,0,18,0,0,1,2,2,2,4,0,0,0,0,1,1,1,0,0,4,4,4,1,1,4,6,14,13,0,13.5,0.08,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1,1,15,1,1,1,2,2,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,2,11,12,0,11.5,0.02666666666666667,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False
1,1,18,1,0,1,4,4,1,3,0,0,0,0,1,1,1,1,0,4,3,3,2,2,3,3,9,12,1,10.5,0.04,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
0,1,18,1,1,1,1,3,1,1,1,0,0,0,0,1,0,1,1,4,3,3,2,3,3,7,8,7,1,7.5,0.09333333333333334,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
1,0,17,1,1,0,3,3,1,2,0,1,1,0,0,1,1,1,0,5,3,3,1,1,5,0,12,12,0,12.0,0.0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
